episode,total_reward,average_reward,epsilon
1,40.0,0.008,1.0
2,68.0,0.0136,0.97
3,116.0,0.0232,0.9409
4,172.0,0.0344,0.912673
5,330.0,0.066,0.8852928099999999
6,306.0,0.0612,0.8587340256999999
7,558.0,0.1116,0.8329720049289999
8,526.0,0.1052,0.8079828447811299
9,610.0,0.122,0.783743359437696
10,698.0,0.1396,0.7602310586545651
11,864.0,0.1728,0.7374241268949281
12,902.0,0.1804,0.7153014030880802
13,978.0,0.1956,0.6938423609954378
14,862.0,0.1724,0.6730270901655747
15,952.0,0.1904,0.6528362774606075
16,1038.0,0.2076,0.6332511891367892
17,1118.0,0.2236,0.6142536534626856
18,1222.0,0.2444,0.595826043858805
19,1204.0,0.2408,0.5779512625430409
20,1344.0,0.2688,0.5606127246667496
21,1338.0,0.2676,0.5437943429267471
22,1486.0,0.2972,0.5274805126389447
23,1422.0,0.2844,0.5116560972597763
24,1558.0,0.3116,0.496306414341983
25,1488.0,0.2976,0.48141722191172354
26,1460.0,0.292,0.4669747052543718
27,1640.0,0.328,0.4529654640967406
28,1742.0,0.3484,0.4393765001738384
29,1718.0,0.3436,0.42619520516862325
30,1630.0,0.326,0.4134093490135645
