episode,total_reward,average_reward,epsilon
1,-1394.5,-0.2789,1.0
2,-1286.5,-0.2573,0.97
3,-1212.0,-0.2424,0.9409
4,-1166.5,-0.2333,0.912673
5,-942.0,-0.1884,0.8852928099999999
6,-901.75,-0.18035,0.8587340256999999
7,-688.25,-0.13765,0.8329720049289999
8,-695.5,-0.1391,0.8079828447811299
9,-509.25,-0.10185,0.783743359437696
10,-317.0,-0.0634,0.7602310586545651
11,-155.5,-0.0311,0.7374241268949281
12,-32.25,-0.00645,0.7153014030880802
13,-109.25,-0.02185,0.6938423609954378
14,90.75,0.01815,0.6730270901655747
15,151.0,0.0302,0.6528362774606075
16,299.25,0.05985,0.6332511891367892
17,399.75,0.07995,0.6142536534626856
18,438.5,0.0877,0.595826043858805
19,624.0,0.1248,0.5779512625430409
20,546.5,0.1093,0.5606127246667496
21,735.0,0.147,0.5437943429267471
22,768.25,0.15365,0.5274805126389447
23,837.5,0.1675,0.5116560972597763
24,937.5,0.1875,0.496306414341983
25,1048.75,0.20975,0.48141722191172354
26,1029.5,0.2059,0.4669747052543718
27,1076.75,0.21535,0.4529654640967406
28,1172.75,0.23455,0.4393765001738384
29,1299.0,0.2598,0.42619520516862325
30,1488.5,0.2977,0.4134093490135645
